classification,tweet
"negative","it's just plain boring ."
"negative","sad nonsense , this . but not without cheesy fun factor ."
"negative","one of those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time ."
"negative","really dumb but occasionally really funny ."
"negative","the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial ."
"negative","a half-assed film ."
"negative","the director's many dodges and turns add up to little more than a screenful of gamesmanship that's low on both suspense and payoff ."
"negative","while the transgressive trappings ( especially the frank sex scenes ) ensure that the film is never dull , rodrigues's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative ."
"negative","the satire is unfocused , while the story goes nowhere ."
"negative","they threw loads of money at an idea that should've been so much more even if it was only made for teenage boys and wrestling fans ."
"negative","it's mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of [woo's] best work ."
"negative","reyes' directorial debut has good things to offer , but ultimately it's undone by a sloppy script"
"negative","if you're over 25 , have an iq over 90 , and have a driver's license , you should be able to find better entertainment ."
"negative","the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil ."
"negative",". . . the picture's cleverness is ironically muted by the very people who are intended to make it shine ."
"negative","never does "" lilo & stitch "" reach the emotion or timelessness of disney's great past , or even that of more recent successes such as "" mulan "" or "" tarzan . """
"negative","one of those so-so films that could have been much better ."
"negative","crossroads feels like a teenybopper ed wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama ."
"negative","fails to satisfactorily exploit its gender politics , genre thrills or inherent humor ."
"negative","interview with the assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its blair witch project real-time roots ."
"negative","cacoyannis' vision is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts ."
"negative","it has more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline ."
"negative","it appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept ."
"negative","less a heartfelt appeal for the handicapped than a nice belgian waffle ."
"negative","it's not helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter ."
"negative","abandon spends 90 minutes trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed . the only problem is that , by the end , no one in the audience or the film seems to really care ."
"negative","no such thing is sort of a minimalist beauty and the beast , but in this case the beast should definitely get top billing . robert john burke as the monster horns in and steals the show ."
"negative","due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a teleprompter ."
"negative","[t]he film is never sure to make a clear point – even if it seeks to rely on an ambiguous presentation ."
"negative","while it may not add up to the sum of its parts , holofcener's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often ."
"negative","an overwrought taiwanese soaper about three people and their mixed-up relationship ."
"negative","nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release ."
"negative","a thoroughly awful movie--dumb , narratively chaotic , visually sloppy . . . a weird amalgam of 'the thing' and a geriatric 'scream . '"
"negative",". . . another example of how sandler is losing his touch ."
"negative","nothing sticks , really , except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams ."
"negative","what goes on for the 110 minutes of "" panic room "" is a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals ."
"negative","the plot's contrivances are uncomfortably strained ."
"negative","guilty of the worst sin of attributable to a movie like this : it's not scary in the slightest ."
"negative","schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that's enough to sustain laughs . . ."
"negative","its simplicity puts an exclamation point on the fact that this isn't something to be taken seriously , but it also wrecks any chance of the movie rising above similar fare ."
"negative","by the final whistle you're convinced that this mean machine was a decent tv outing that just doesn't have big screen magic ."
"negative","to say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor ."
"negative","a film of empty , fetishistic violence in which murder is casual and fun ."
"negative","pretend it's a werewolf itself by avoiding eye contact and walking slowly away . it's fun , but it's a real howler ."
"negative","some fine acting , but ultimately a movie with no reason for being ."
"negative","it's difficult to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting ."
"negative","a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads ."
"negative","it tells its story in a flat manner and leaves you with the impression that you should have gotten more out of it than you did ."
"negative","sweet gentle jesus , did the screenwriters just do a cut-and-paste of every bad action-movie line in history ?"
"negative","it's not the worst comedy of the year , but it certainly won't win any honors ."
"negative","this is for the most part a useless movie , even with a great director at the helm ."
"negative","a loud , witless mess that has none of the charm and little of the intrigue from the tv series ."
"negative","even on its own ludicrous terms , the sum of all fears generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series ."
"negative","though it inspires some ( out-of-field ) creative thought , the film is -- to its own detriment -- much more a cinematic collage than a polemical tract ."
"negative","as predictable as the outcome of a globetrotters-generals game , juwanna mann is even more ludicrous than you'd expect from the guy-in-a-dress genre , and a personal low for everyone involved ."
"negative","sinks into the usual cafeteria goulash of fart jokes , masturbation jokes , and racist japanese jokes ."
"negative","where tom green stages his gags as assaults on america's knee-jerk moral sanctimony , jackass lacks aspirations of social upheaval ."
"negative","more of an intriguing curiosity than a gripping thriller ."
"negative","the april 2002 instalment of the american war for independence , complete with loads of cgi and bushels of violence , but not a drop of human blood ."
"negative","contains all the substance of a twinkie -- easy to swallow , but scarcely nourishing ."
"negative","return to neverland manages to straddle the line between another classic for the company and just another run-of-the-mill disney sequel intended for the home video market ."
"negative","rarely does a film so graceless and devoid of merit as this one come along ."
"negative","it's a thin notion , repetitively stretched out to feature length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue ."
"negative","on a certain base level , blue crush delivers what it promises , just not well enough to recommend it ."
"negative","the colorful masseur wastes its time on mood rather than riding with the inherent absurdity of ganesh's rise up the social ladder ."
"negative",". . . an incredibly heavy-handed , manipulative dud that feels all too familiar ."
"negative","wimps out by going for that pg-13 rating , so the more graphic violence is mostly off-screen and the sexuality is muted ."
"negative","trapped presents a frightening and compelling 'what if ? ' scenario that will give most parents pause . . . . then , something terrible happens ."
"negative","madonna has made herself over so often now , there's apparently nothing left to work with , sort of like michael jackson's nose ."
"negative","never having seen the first two films in the series , i can't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams left in the broiling sun for a good three days ."
"negative","the story is lacking any real emotional impact , and the plot is both contrived and cliched ."
"negative","a depraved , incoherent , instantly disposable piece of hackery ."
"negative","it's a bad action movie because there's no rooting interest and the spectacle is grotesque and boring ."
"negative","[soderbergh] tends to place most of the psychological and philosophical material in italics rather than trust an audience's intelligence , and he creates an overall sense of brusqueness ."
"negative","handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism ."
"negative","so aggressively cheery that pollyana would reach for a barf bag ."
"negative","scooby-doo doesn't know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , nickelodeon-esque kiddie flick ."
"negative","russell lacks the visual panache , the comic touch , and perhaps the budget of sommers's title-bout features ."
"negative","highly uneven and inconsistent . . . margarita happy hour kinda resembles the el cheapo margaritas served within ."
"negative","very stupid and annoying ."
"negative","the sum of all fears pretends to be a serious exploration of nuclear terrorism , but it's really nothing more than warmed-over cold war paranoia ."
"negative","a listless and desultory affair ."
"negative","represents the depths to which the girls-behaving-badly film has fallen ."
"negative","how inept is serving sara ? it makes even elizabeth hurley seem graceless and ugly ."
"negative","jam-packed with literally bruising jokes . every five minutes or so , someone gets clocked ."
"negative","wins my vote for 'the 2002 enemy of cinema' award ."
"negative","any chekhov is better than no chekhov , but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years ."
"negative","helmer hudlin tries to make a hip comedy , but his dependence on slapstick defeats the possibility of creating a more darkly edged tome ."
"negative","lazy , miserable and smug . this is one of the biggest disappointments of the year ."
"negative","formula 51 has dulled your senses faster and deeper than any recreational drug on the market ."
"negative","every visual joke is milked , every set-up obvious and lengthy , every punchline predictable . there's no energy ."
"negative","apparently writer-director attal thought he need only cast himself and his movie-star wife sitting around in their drawers to justify a film ."
"negative","after the setup , the air leaks out of the movie , flattening its momentum with about an hour to go ."
"negative","this is a poster movie , a mediocre tribute to films like them !"
"negative","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue ."
"negative","a bit too derivative to stand on its own as the psychological thriller it purports to be ."
"negative","a crude teen-oriented variation on a theme that the playwright craig lucas explored with infinitely more grace and eloquence in his prelude to a kiss ."
"negative","the film's darker moments become smoothed over by an overwhelming need to tender inspirational tidings , especially in the last few cloying moments ."
"negative","if you recognize zeus ( the dog from snatch ) it will make you wish you were at home watching that movie instead of in the theater watching this one ."
"negative","abysmally pathetic"
"negative","this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself , 'ah , yes , here we have a bad , bad , bad movie . '"
"negative","shanghai ghetto should be applauded for finding a new angle on a tireless story , but you might want to think twice before booking passage ."
"negative","plays like a checklist of everything rob reiner and his cast were sending up ."
"negative","there's too much forced drama in this wildly uneven movie , about a young man's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present ."
"negative","it's at once laughable and compulsively watchable , in its committed dumbness ."
"negative","all the sensuality , all the eroticism of a good vampire tale has been , pardon the pun , sucked out and replaced by goth goofiness ."
"negative","a cross between blow and boyz n the hood , this movie strives to be more , but doesn't quite get there . good performances keep it from being a total rehash ."
"negative","the screenplay is hugely overwritten , with tons and tons of dialogue -- most of it given to children ."
"negative","troll the cult section of your local video store for the real deal ."
"negative","at times , the movie looks genuinely pretty . your nightmares , on the other hand , will be anything but . not even felinni would know what to make of this italian freakshow ."
"negative","elmo touts his drug as being 51 times stronger than coke . if you're looking for a tale of brits behaving badly , watch snatch again . it's 51 times better than this ."
"negative","it's difficult to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny ."
"negative","despite its promising cast of characters , big trouble remains a loosely tied series of vignettes which only prove that 'zany' doesn't necessarily mean 'funny . '"
"negative","both shrill and soporific , and because everything is repeated five or six times , it can seem tiresomely simpleminded ."
"negative","does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny ."
"negative","neither revelatory nor truly edgy--merely crassly flamboyant and comedically labored ."
"negative","just about everyone involved here seems to be coasting . there are a few modest laughs , but certainly no thrills ."
"negative","fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur ."
"negative","there's a persistent theatrical sentiment and a woozy quality to the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film's simple title ."
"negative","while howard's appreciation of brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through were it not for the supporting cast ."
"negative","a preposterous , prurient whodunit ."
"negative","go , girls , right down the reality drain ."
"negative","boasting some of the most poorly staged and lit action in memory , impostor is as close as you can get to an imitation movie ."
"negative","can be classified as one of those 'alternate reality' movies . . . except that it would have worked so much better dealing in only one reality ."
"negative","predictable and cloying , though brown sugar is so earnest in its yearning for the days before rap went nihilistic that it summons more spirit and bite than your average formulaic romantic quadrangle ."
"negative",". . . unlikable , uninteresting , unfunny , and completely , utterly inept ."
"negative","the film is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ."
"negative","an imponderably stilted and self-consciously arty movie ."
"negative","muddled , melodramatic paranormal romance is an all-time low for kevin costner ."
"negative","too clumsy in key moments . . . to make a big splash ."
"negative","just a bunch of good actors flailing around in a caper that's neither original nor terribly funny ."
"negative","`matrix'-style massacres erupt throughout . . . but the movie has a tougher time balancing its violence with kafka-inspired philosophy ."
"negative","at least it's a fairly impressive debut from the director , charles stone iii ."
"negative","it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense ."
"negative","wanker goths are on the loose ! run for your lives !"
"negative","why would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects ?"
"negative","a grating , emaciated flick ."
"negative","unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook ."
"negative","presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency ."
"negative","we have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat ."
"negative",". . . unbearably lame ."
"negative","according to the script , grant and bullock's characters are made for each other . but you'd never guess that from the performances ."
"negative","the animation merely serves up a predictable , maudlin story that swipes heavily from bambi and the lion king , yet lacks the emotional resonance of either of those movies ."
"negative","ararat feels like a book report"
"negative","steve oedekerk is , alas , no woody allen ."
"negative","a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless ."
"negative","an amalgam of the fugitive , blade runner , and total recall , only without much energy or tension ."
"negative","the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing ."
"negative","shows that jackie chan is getting older , and that's something i would rather live in denial about"
"negative","with miscast leads , banal dialogue and an absurdly overblown climax , killing me softly belongs firmly in the so-bad-it's-good camp ."
"negative","alas , the black-and-white archival footage of their act showcases pretty mediocre shtick ."
"negative","the slapstick is labored , and the bigger setpieces flat ."
"negative","this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks ."
"negative","the problem with the mayhem in formula 51 is not that it's offensive , but that it's boring ."
"negative","much of the digitally altered footage appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché ."
"negative","the film never rises above a conventional , two dimension tale"
"negative","mark wahlberg . . . may look classy in a '60s-homage pokepie hat , but as a character he's dry , dry , dry ."
"negative","told in scattered fashion , the movie only intermittently lives up to the stories and faces and music of the men who are its subject ."
"negative","the irony is that this film's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own ."
"negative","now i can see why people thought i was too hard on "" the mothman prophecies "" ."
"negative","if ever a concept came handed down from the movie gods on a silver platter , this is it . if ever such a dependable concept was botched in execution , this is it ."
"negative","with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable "" formula 51 "" is somewhat entertaining , but it could have been much stronger ."
"negative","sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser . . . above its paint-by-numbers plot ."
"negative","a feel-good movie that doesn't give you enough to feel good about ."
"negative","adolescents will be adequately served by the movie's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a 'topless tutorial service . '"
"negative","this mistaken-identity picture is so film-culture referential that the final product is a ghost ."
"negative","the picture emerges as a surprisingly anemic disappointment ."
"negative","de niro cries . you'll cry for your money back ."
"negative","slap me , i saw this movie ."
"negative","[the kid's] just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow ."
"negative","behind the glitz , hollywood is sordid and disgusting . quelle surprise !"
"negative","scherfig , who has had a successful career in tv , tackles more than she can handle ."
"negative","just consider what new best friend does not have , beginning with the minor omission of a screenplay ."
"negative","oscar caliber cast doesn't live up to material"
"negative","the problems of the people in love in the time of money are hardly specific to their era . they just have problems , which are neither original nor are presented in convincing way ."
"negative","carrying this wafer-thin movie on his nimble shoulders , chan wades through putrid writing , direction and timing with a smile that says , 'if i stay positive , maybe i can channel one of my greatest pictures , drunken master . '"
"negative","so putrid it is not worth the price of the match that should be used to burn every print of the film ."
"negative","in the end , the movie bogs down in insignificance , saying nothing about kennedy's assassination and revealing nothing about the pathology it pretends to investigate ."
"negative","starts out ballsy and stylish but fails to keep it up and settles into clichés ."
"negative","sometimes makes less sense than the bruckheimeresque american action flicks it emulates ."
"negative","one of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation ."
"negative","there's only one way to kill michael myers for good : stop buying tickets to these movies ."
"negative","bland but harmless ."
"negative","'rare birds' tries to force its quirkiness upon the audience ."
"negative","the movie is about as humorous as watching your favorite pet get buried alive ."
"negative","resident evil is what comes from taking john carpenter's ghosts of mars and eliminating the beheadings . in other words , about as bad a film you're likely to see all year ."
"negative","five screenwriters are credited with the cliché-laden screenplay ; it seems as if each watered down the version of the one before ."
"negative","the whole thing comes off like a particularly amateurish episode of bewitched that takes place during spring break ."
"negative","well made but uninvolving , bloodwork isn't a terrible movie , just a stultifyingly obvious one -- an unrewarding collar for a murder mystery ."
"negative","so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter's the thing and loaded with actors you're most likely to find on the next inevitable incarnation of the love boat ."
"negative","the movie's blatant derivativeness is one reason it's so lackluster ."
"negative","la de salma es una versión de frida superficial , preciosista y sin ningún contenido ."
"negative","kids don't mind crappy movies as much as adults , provided there's lots of cute animals and clumsy people . 'snow dogs' has both ."
"negative","it's almost as if it's an elaborate dare more than a full-blooded film ."
"negative","wobbly senegalese updating of "" carmen "" which is best for the stunning star turn by djeinaba diop gai"
"negative","it's the humanizing stuff that will probably sink the film for anyone who doesn't think about percentages all day long ."
"negative","ken russell would love this . in one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino's climactic shootout — and meat loaf explodes ."
"negative","bella is the picture of health with boundless energy until a few days before she dies . this is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer ."
"negative","the premise of "" abandon "" holds promise , . . . but its delivery is a complete mess ."
"negative","what could have been a pointed little chiller about the frightening seductiveness of new technology loses faith in its own viability and succumbs to joyless special-effects excess ."
"negative","a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one's appetite for the bollywood films ."
"negative","unless bob crane is someone of particular interest to you , this film's impressive performances and adept direction aren't likely to leave a lasting impression ."
"negative","the rock has a great presence but one battle after another is not the same as one battle followed by killer cgi effects ."
"negative","the bottom line with nemesis is the same as it has been with all the films in the series : fans will undoubtedly enjoy it , and the uncommitted needn't waste their time on it ."
"negative","the lousy john q all but spits out denzel washington's fine performance in the title role ."
"negative","the whole thing feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas ."
"negative","what a stiflingly unfunny and unoriginal mess this is !"
"negative","the film is so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film ."
"negative","opera on film is never satisfactory . the art demands live viewing . the innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen ."
"negative","despite all the closed-door hanky-panky , the film is essentially juiceless ."
"negative","it is parochial , accessible to a chosen few , standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill"
"negative","the sweetest thing leaves an awful sour taste ."
"negative","it's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay ."
"negative","terminally bland , painfully slow and needlessly confusing . . . the movie , shot on digital videotape rather than film , is frequently indecipherable ."
"negative","as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy ."
"negative","aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships ."
"negative","a low-rent retread of the alien pictures ."
"negative","serviceable at best , slightly less than serviceable at worst ."
"negative","its initial excitement settles into a warmed over pastiche ."
"negative","a big meal of cliches that the talented cast generally chokes on ."
"negative","the story has little wit and no surprises ."
"negative","the merchant-ivory team continues to systematically destroy everything we hold dear about cinema , only now it's begun to split up so that it can do even more damage ."
"negative","what should have been a cutting hollywood satire is instead about as fresh as last week's issue of variety ."
"negative","hey everybody , wanna watch a movie in which a guy dressed as a children's party clown gets violently gang-raped ? i didn't think so ."
"negative","a little more intensity and a little less charm would have saved this film a world of hurt ."
"negative","dense and enigmatic . . . elusive . . . stagy and stilted"
"negative","[t]his slop doesn't even have potential as a cult film , as it's too loud to shout insults at the screen ."
"negative","the movie's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh ."
"negative",". . . may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . this scarlet's letter is a . . . as in aimless , arduous , and arbitrary ."
"negative","plays like a glossy melodrama that occasionally verges on camp ."
"negative","the central character isn't complex enough to hold our interest ."
"negative","a modestly comic , modestly action-oriented world war ii adventure that , in terms of authenticity , is one of those films that requires the enemy to never shoot straight ."
"negative","a puppy dog so desperate for attention it nearly breaks its little neck trying to perform entertaining tricks ."
"negative","just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be ."
"negative","a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium ."
"negative","there's a heavy stench of 'been there , done that' hanging over the film . it's everything you'd expect -- but nothing more ."
"negative","the biggest problem with satin rouge is lilia herself . she's a cipher , played by an actress who smiles and frowns but doesn't reveal an inner life ."
"negative","a quaint , romanticized rendering ."
"negative","what with the incessant lounge music playing in the film's background , you may mistake love liza for an adam sandler chanukah song ."
"negative","the movie's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness ."
"negative","a potentially good comic premise and excellent cast are terribly wasted ."
"negative","woody allen used to ridicule movies like hollywood ending . now he makes them ."
"negative","she's not yet an actress , not quite a singer . . ."
"negative","not a bad premise , but the execution is lackluster at best ."
"negative","been there done that ."
"negative","there is only so much baked cardboard i need to chew ."
"negative","a movie like the guys is why film criticism can be considered work ."
"negative","schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying ."
"negative","even if it made its original release date last fall , it would've reeked of a been-there , done-that sameness ."
"negative","only two-fifths of a satisfying movie experience ."
"negative","a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target ."
"negative","[l]ame and unnecessary ."
"negative","a movie version of a paint-by-numbers picture . we can tell what it is supposed to be , but can't really call it a work of art ."
"negative","it's a brilliant , honest performance by nicholson , but the film is an agonizing bore except when the fantastic kathy bates turns up . bravado kathy !"
"negative",". . . liotta is put in an impossible spot because his character's deceptions ultimately undo him and the believability of the entire scenario . too bad ."
"negative","you can thank me for this . i saw juwanna mann so you don't have to ."
"negative","unfunny and lacking any sense of commitment to or affection for its characters , the reginald hudlin comedy relies on toilet humor , ethnic slurs ."
"negative","basically , it's pretty but dumb ."
"negative","this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in ."
"negative","squandering his opportunity to make absurdist observations , burns gets caught up in the rush of slapstick thoroughfare ."
"negative","there's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings ."
"negative","reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down ."
"negative","the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen ."
"negative","co-writer/director jonathan parker's attempts to fashion a brazil-like , hyper-real satire fall dreadfully short ."
"negative","if this silly little cartoon can inspire a few kids not to grow up to be greedy bastards , more power to it ."
"negative","a superfluous sequel . . . plagued by that old familiar feeling of 'let's get this thing over with' : everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find ."
"negative","if there's a heaven for bad movies , deuces wild is on its way ."
"negative","comes off like a bad imitation of the bard ."
"negative","what's missing in murder by numbers is any real psychological grounding for the teens' deviant behaviour . being latently gay and liking to read are hardly enough ."
"negative","an uninspired preachy and clichéd war film ."
"negative","horrendously amateurish filmmaking that is plainly dull and visually ugly when it isn't incomprehensible ."
"negative","a movie that harps on media-constructed 'issues' like whether compromise is the death of self… this orgasm [won't be an] exceedingly memorable one for most people ."
"negative","slackers' jokey approach to college education is disappointingly simplistic -- the film's biggest problem -- and there are no unforgettably stupid stunts or uproariously rude lines of dialogue to remember it by ."
"negative","if festival in cannes nails hard- boiled hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing ."
"negative","the movie is too impressed with its own solemn insights to work up much entertainment value ."
"negative","i haven't seen such self-amused trash since freddy got fingered ."
"negative","little more than a well-mounted history lesson ."
"negative","rob schneider's infantile cross-dressing routines fill the hot chick , the latest gimmick from this unimaginative comedian ."
"negative","a horrible , 99-minute stink bomb ."
"negative","the film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil ."
"negative","her fans walked out muttering words like "" horrible "" and "" terrible , "" but had so much fun dissing the film that they didn't mind the ticket cost . in this case zero ."
"negative","the film is so bad it doesn't improve upon the experience of staring at a blank screen ."
"negative","sheridan's take on the author's schoolboy memoir . . . is a rather toothless take on a hard young life ."
"negative","it jumps around with little logic or continuity , presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier ."
"negative","how i killed my father is one of those art house films that makes you feel like you're watching an iceberg melt -- only it never melts ."
"negative","when it comes to the battle of hollywood vs . woo , it looks like woo's a p . o . w ."
"negative","there are a few chuckles , but not a single gag sequence that really scores , and the stars seem to be in two different movies ."
"negative","the chateau has one very funny joke and a few other decent ones , but all it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film ."
"negative","it's dull , spiritless , silly and monotonous : an ultra-loud blast of pointless mayhem , going nowhere fast ."
"negative","the mushy finale turns john q into a movie-of-the-week tearjerker ."
"negative","content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance ."
"negative","the movie turns out to be [assayas'] homage to the gallic 'tradition of quality , ' in all its fusty squareness ."
"negative","its message has merit and , in the hands of a brutally honest individual like prophet jack , might have made a point or two regarding life ."
"negative","[seems] even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels ."
"negative","it's hard to imagine that even very small children will be impressed by this tired retread ."
"negative","neither as scary-funny as tremors nor demented-funny as starship troopers , the movie isn't tough to take as long as you've paid a matinee price ."
"negative","if swimfan does catch on , it may be because teens are looking for something to make them laugh ."
"negative","what might've been an exhilarating exploration of an odd love triangle becomes a sprawl of uncoordinated vectors ."
"negative","the master of disguise may have made a great saturday night live sketch , but a great movie it is not ."
"negative","it's quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere ."
"negative","boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect ."
"negative","it's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic . unfortunately , that's precisely what arthur dong's family fundamentals does ."
"negative","has the marks of a septuagenarian ; it's a crusty treatment of a clever gimmick ."
"negative","like a medium-grade network sitcom--mostly inoffensive , fitfully amusing , but ultimately so weightless that a decent draft in the auditorium might blow it off the screen ."
"negative","something must have been lost in the translation ."
"negative","becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring ."
"negative","in the end , the film feels homogenized and a bit contrived , as if we're looking back at a tattered and ugly past with rose-tinted glasses ."
"negative","chan's stunts are limited and so embellished by editing that there's really not much of a sense of action or even action-comedy ."
"negative","rock's stand-up magic wanes . hopkins , squarely fills the screen . action - mechanical ."
"negative",""" the tuxedo "" should have been the vehicle for chan that "" the mask "" was for jim carrey . alas , it's the man that makes the clothes ."
"negative","for casual moviegoers who stumble into rules expecting a slice of american pie hijinks starring the kid from dawson's creek , they'll probably run out screaming ."
"negative","the biggest problem i have ( other than the very sluggish pace ) is we never really see her esther blossom as an actress , even though her talent is supposed to be growing ."
"negative","what puzzles me is the lack of emphasis on music in britney spears' first movie ."
"negative","plot , characters , drama , emotions , ideas -- all are irrelevant to the experience of seeing the scorpion king ."
"negative","city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for . but how it washed out despite all of that is the project's prime mystery ."
"negative","whatever the movie's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes ."
"negative","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely ."
"negative","there ain't a lot more painful than an unfunny movie that thinks it's hilarious ."
"negative","i enjoyed the movie in a superficial way , while never sure what its purpose was ."
"negative","what a pity . . . that the material is so second-rate ."
"negative","doesn't deliver a great story , nor is the action as gripping as in past seagal films ."
